player_name,team_title,position,time,games,goals,assists,shots,key_passes,xG,xA,npg,npxG
"Woo-Yeong Jeong","Union Berlin","F M S","1182","28","4","1","22","6","2.681515445932746","0.4271412957459688","4","2.681515445932746"
"Ozan Kabak","Hoffenheim","D S","1731","25","4","0","35","9","4.639676934108138","0.4478818494826555","4","4.639676934108138"
"Ansgar Knauff","Eintracht Frankfurt","D F M S","1302","28","4","1","34","17","3.700697695836425","2.9085339084267616","4","3.700697695836425"
"Romano Schmid","Werder Bremen","F M","3004","34","4","8","57","87","7.935770924203098","10.276878538541496","1","4.904664213769138"
"Patrick Wimmer","Wolfsburg","F M S","1678","25","4","3","24","16","3.6373985055834055","2.249568970873952","4","3.6373985055834055"
"Jae-Sung Lee","Mainz 05","F M S","2229","28","4","2","30","22","4.2225238950923085","3.3260836768895388","4","4.2225238950923085"
"Yuito Suzuki","Freiburg","M S","1645","25","4","2","38","25","4.17771103978157","2.0996621567755938","4","4.17771103978157"
"Marvin Pieringer","FC Heidenheim","F M S","1689","27","4","1","32","17","5.809882741421461","2.210926704108715","3","5.0521060936152935"
"Antonio Nusa","RasenBallsport Leipzig","F M S","2048","31","4","3","61","33","5.204239755868912","4.748528776690364","4","5.204239755868912"
"Bilal El Khannouss","VfB Stuttgart","F M S","1654","25","4","5","42","44","3.092769087292254","5.275783350691199","4","3.092769087292254"
"Konstantinos Koulierakis","Wolfsburg","D S","2476","29","4","1","26","14","3.5553980004042387","1.7689252914860845","4","3.5553980004042387"
"Nathaniel Brown","Eintracht Frankfurt","D M S","2668","33","4","4","18","34","2.06600034981966","3.1800129488110542","4","2.06600034981966"
"Assan Ouédraogo","RasenBallsport Leipzig","F M S","970","19","4","3","27","14","2.8071718588471413","3.0103504192084074","4","2.8071718588471413"
"Wouter Burger","Hoffenheim","M","2486","30","4","5","36","51","4.212299581617117","5.882515028119087","4","4.212299581617117"
"Andréas Hountondji","St. Pauli","F M S","1092","21","4","0","21","6","4.958361548837274","0.7058144751936197","4","4.200584930833429"
