player_name,team_title,minutesPlayed,goals,assists,totalShots,shotsOnTarget,keyPasses,successfulDribbles,expectedGoals,expectedAssists
"Matheus Henrique","Cruzeiro","760","0","0","6","0","8","3","0.32","0.37"
"Zé Ricardo","Remo","919","0","0","9","4","13","8","0.32","1.3"
"Gonzalo Escobar","Santos","1048","0","1","8","1","6","8","0.31","0.48"
"Matheus Pereira","Corinthians","461","0","0","8","1","2","0","0.31","0.22"
"Dudu","Vitória","169","1","0","1","1","3","3","0.31","0.09"
"Nahuel Ferraresi","Botafogo","947","1","0","4","1","4","0","0.31","0.24"
"Christian Oliva","Santos","791","0","2","7","0","5","6","0.3","0.33"
"Matheus Bahia","Internacional","697","0","0","5","2","7","3","0.3","0.84"
"Marinho","Vitória","151","0","0","6","1","0","0","0.3","0.08"
"Camutanga","Vitória","600","0","0","3","1","1","0","0.29","0.11"
"Willian Oliveira","Coritiba","473","0","0","5","0","3","0","0.29","0.21"
"Tiago Cóser","Coritiba","915","1","0","3","1","3","0","0.29","0.11"
"Gui Negão","Corinthians","118","0","0","1","0","2","0","0.29","0.03"
"Adonis Frías","Santos","675","1","0","5","3","2","3","0.29","0.07"
"Zakaria Labyad","Corinthians","99","1","1","4","1","5","2","0.29","0.27"
"Felipe Anderson","Palmeiras","391","1","1","10","2","9","10","0.29","0.37"
"Enzo Díaz","São Paulo","928","0","1","11","2","8","6","0.29","0.73"
"Joaquín Correa","Botafogo","178","0","1","4","1","2","1","0.28","0.16"
"Martin Braithwaite","Grêmio","340","0","0","4","1","2","0","0.28","0.11"
"Leonel Pérez","Grêmio","670","0","0","6","1","1","2","0.28","0.07"
"Aitor Cantalapiedra","Vitória","337","0","0","2","1","6","2","0.28","0.49"
"Ignácio","Fluminense","541","0","1","7","0","1","1","0.28","0.04"
"Juan Portilla","Athletico","805","0","0","6","1","3","6","0.27","0.23"
"Lucas Romero","Cruzeiro","828","1","3","8","5","9","4","0.27","0.39"
"Vitor Hugo","Atlético Mineiro","471","1","0","4","1","0","0","0.27","0.02"
"Zé Welison","Remo","878","0","0","10","0","5","6","0.26","0.26"
"Marcelinho Braz","Red Bull Bragantino","190","0","1","4","1","2","1","0.26","0.11"
"Felipinho","Athletico","375","0","0","3","0","0","2","0.26","0.09"
"Nicolás de la Cruz","Flamengo","243","0","0","4","0","5","2","0.26","0.4"
"Natanael","Atlético Mineiro","874","0","1","7","2","6","9","0.26","0.2"
"Bruno Melo","Coritiba","1288","1","1","5","1","10","0","0.25","0.94"
"Victor Gabriel","Internacional","1175","0","0","4","0","1","3","0.25","0.57"
"Junior Alonso","Atlético Mineiro","900","0","0","5","1","3","0","0.25","0.09"
"Marllon","Remo","1620","1","0","5","1","3","1","0.24","0.1"
"Viery","Grêmio","1169","1","0","6","2","4","0","0.24","0.2"
"Anderson Pato","Vitória","78","0","0","4","1","2","1","0.24","0.04"
"Ronald","Vitória","151","0","0","4","0","2","1","0.24","0.4"
"Jonathan Jesus","Cruzeiro","809","0","0","7","0","0","5","0.24","0.12"
"Pablo Maia","São Paulo","521","0","0","6","0","2","4","0.23","0.16"
"Gabriel Xavier","Bahia","429","0","0","1","0","0","0","0.22","0.03"
"Denilson","Mirassol","494","1","0","4","2","3","3","0.22","0.31"
