player_name,team_title,minutes_played,shots,shots_on_target,goals,key_passes,xgoals,xassists
Sebastien Ibeagha,FC Dallas,3306,15,7,1,5,2.1046,0.6814
Nicolás Dubersarsky,Austin FC,820,3,0,0,3,0.427,0.1678
Logan Farrington,FC Dallas,1907,30,12,5,15,3.4282,1.9385
Jonathan Dean,Chicago Fire FC,2159,8,4,1,14,1.3535,1.6067
Lalas Abubakar,FC Dallas,1981,8,3,1,3,0.5285,0.1225
Matt Freese,New York City FC,3597,0,0,0,0,0.0,0.0
Dénis Bouanga,Los Angeles FC,3294,163,78,26,49,26.3141,8.758
Erik Sviatchenko,Houston Dynamo FC,1072,10,4,0,0,1.2579,0.0
Rafael Cabral,Real Salt Lake,3564,0,0,0,0,0.0,0.0
Eddie Segura,Los Angeles FC,3126,15,3,1,11,1.5875,0.8908
Franco Negri,San Diego FC,871,6,2,1,6,0.1621,0.7689
Aiden O'Neill,New York City FC,2067,13,1,0,9,0.4185,0.4848
Jordan Morris,Seattle Sounders FC,1178,22,16,7,14,6.1373,2.8673
Pablo Ruiz,Real Salt Lake,1354,19,8,0,31,0.6488,2.5651
Jonathan Bamba,Chicago Fire FC,3018,64,29,6,51,7.311,5.8626
Saba Lobjanidze,Atlanta United FC,2141,38,12,0,35,4.3691,4.9932
Brad Stuver,Austin FC,3645,0,0,0,2,0.0,0.1374
Robin Lod,Minnesota United FC,3055,39,19,6,33,5.0697,5.0084
Kerwin Vargas,Charlotte FC,2215,47,17,6,29,5.0982,4.5325
Baltasar Rodríguez,Inter Miami CF,1109,19,8,3,4,2.5184,0.6382
Jasper Löeffelsend,San Diego FC,680,3,0,0,9,0.156,1.5283
Luca Orellano,FC Cincinnati,2192,59,26,2,39,3.3376,4.0464
